Gene	Direction
Gpc5	All
Gpnmb	All
Gpr137b	All
Gpr149	All
Gpr182	All
Gpr183	All
Gpr27	All
Gpr3	All
Gpr34	All
Gpr45	All
Gpr65	All
Gpr84	All
Gpx1	All
Grhl2	All
Grin3b	All
Grn	All
Grpr	All
Gsap	All
Gsn	All
Gsta1	All
Gtpbp6	All
Gucy2g	All
Gusb	All
H1f2	All
H2-D1	All
H2-K1	All
H2-Ob	All
H2ac10	All
H3c10	All
H3c2	All
Haus3	All
Havcr2	All
Hbegf	All
Hcar2	All
Hck	All
Hcls1	All
Hcrtr1	All
Hcrtr2	All
Hdac9	All
Hdgf	All
Hexa	All
Hexb	All
Hhex	All
Hif1a	All
Hivep1	All
Hivep2	All
Hk2	All
Hlx	All
Hmgcs1	All
Hmox1	All
Hoga1	All
Homer1	All
Hpgd	All
Hpgds	All
Hpse	All
Hpx	All
Hrc	All
Hrh2	All
Hsd17b2	All
Hspa12b	All
Hspa1a	All
Hspa1b	All
Hspa5	All
Htr5b	All
Htr7	All
Hvcn1	All
Icam1	All
Idh1	All
Idi1	All
Ier5	All
Ifi204	All
Ifi207	All
Ifi27	All
Ifi27l2a	All
Ifit3	All
Ifitm3	All
Ifngr1	All
Ift80	All
Igf1	All
Igfbp5	All
Igfn1	All
Igsf9b	All
Ikzf1	All
Il10rb	All
Il13ra1	All
Il4ra	All
Il6st	All
Impdh1	All
Inpp5d	All
Insig1	All
Ints12	All
Iqcd	All
Irf8	All
Irgm1	All
Irgq	All
Irs1	All
Isl1	All
Itga10	All
Itga5	All
Itga6	All
Itgam	All
Itgax	All
Itgb1	All
Itgb2	All
Itgb5	All
Itpkb	All
Jak3	All
Jcad	All
Josd1	All
Kbtbd8	All
Kcnb2	All
Kcnd3	All
Kcng1	All
Kcng3	All
Kcnj2	All
Kcnk12	All
Kcnk6	All
Kcnmb4	All
Kcnn2	All
Kcnv1	All
Kdelr2	All
Kif26b	All
Kif27	All
Kirrel2	All
Klf10	All
Klf15	All
Klf8	All
Klhdc7b	All
Klhl3	All
Klhl32	All
Klhl6	All
Klk6	All
Lacc1	All
Lactb2	All
Lag3	All
Lair1	All
Lamc2	All
Lamp1	All
Lamp2	All
Lap3	All
Laptm5	All
Lat2	All
Lbh	All
Lcat	All
Lcp1	All
Lcp2	All
Ldlr	All
Ldlrap1	All
Lef1	All
Lgals3bp	All
Lgals9	All
Lgi4	All
Lgmn	All
Lhfpl2	All
Lhx2	All
Lilrb4a	All
Lipa	All
Lipg	All
Lix1	All
Llph	All
Lonrf1	All
Lpcat2	All
Lpl	All
Lpxn	All
Lratd2	All
Lrit3	All
Lrmp	All
Lrrd1	All
