Gene	Direction
9130019O22Rik	All
Abhd1	All
Acp4	All
Adamts15	All
Adamtsl2	All
Ahr	All
Ankrd54	All
Arl3	All
Atp5e	All
Atp7a	All
C7	All
Ccer1	All
Ccm2l	All
Cd300ld	All
Cdc42ep2	All
Cfap54	All
Chchd10	All
Chrac1	All
Chrnb1	All
Clec1a	All
Coa6	All
Cox7a1	All
Cox8b	All
Cpne8	All
Crtap	All
Cry1	All
Cst3	All
Ctnnd1	All
Cwc22	All
Cxadr	All
Dpysl3	All
Drd4	All
Dusp18	All
Ecsit	All
Ednra	All
Egfem1	All
Etaa1	All
Fabp7	All
Fam83e	All
Fbxo2	All
Gm21028	All
Gm3696	All
Gm4450	All
Gm48552	All
Grpr	All
Grtp1	All
Hcn2	All
Hmgcl	All
Hyls1	All
Insm2	All
Itgb1bp1	All
Kera	All
Leap2	All
Lrit3	All
Lrriq1	All
Met	All
Msmp	All
Mup21	All
Nat8f6	All
Nav3	All
Ndufa5	All
Ndufb8	All
Nectin3	All
Nefh	All
Olfr464	All
Pcdhga7	All
Pcdhgc5	All
Perm1	All
Piwil4	All
Pla2g5	All
Plekho2	All
Plet1	All
Pou5f2	All
Ppp1cc	All
Psme2	All
Rasgrf2	All
Rps23rg1	All
Rsph9	All
Selenov	All
Sema3d	All
Sephs2	All
Sertad4	All
Slc16a2	All
Slc1a6	All
Slc32a1	All
Slc35a1	All
Slc8a3	All
Smdt1	All
Smim40-ps	All
Smim8	All
Spire2	All
Srms	All
Steap4	All
Tspan33	All
Tubg1	All
Tubgcp2	All
Uck1	All
Zfp446	All
Zfp503	All
Zkscan4	All
9130019O22Rik	Downreg
Abhd1	Downreg
Adamts15	Downreg
Adamtsl2	Downreg
Ahr	Downreg
Ankrd54	Downreg
Atp7a	Downreg
C7	Downreg
Ccm2l	Downreg
Cfap54	Downreg
Chrnb1	Downreg
Clec1a	Downreg
Coa6	Downreg
Cox7a1	Downreg
Cox8b	Downreg
Cpne8	Downreg
Crtap	Downreg
Ctnnd1	Downreg
Cwc22	Downreg
Cxadr	Downreg
Dpysl3	Downreg
Dusp18	Downreg
Ednra	Downreg
Egfem1	Downreg
Fabp7	Downreg
Gm3696	Downreg
Gm4450	Downreg
Grpr	Downreg
Leap2	Downreg
Lrriq1	Downreg
Met	Downreg
Msmp	Downreg
Nat8f6	Downreg
Nav3	Downreg
Nectin3	Downreg
Olfr464	Downreg
Pcdhgc5	Downreg
Perm1	Downreg
Pla2g5	Downreg
Plet1	Downreg
Pou5f2	Downreg
Rasgrf2	Downreg
Rsph9	Downreg
Sema3d	Downreg
Slc16a2	Downreg
Slc35a1	Downreg
Smim8	Downreg
Steap4	Downreg
Tspan33	Downreg
Tubgcp2	Downreg
Zfp446	Downreg
Acp4	Upreg
Arl3	Upreg
Atp5e	Upreg
Ccer1	Upreg
Cd300ld	Upreg
Cdc42ep2	Upreg
Chchd10	Upreg
Chrac1	Upreg
Cry1	Upreg
Cst3	Upreg
Drd4	Upreg
Ecsit	Upreg
Etaa1	Upreg
Fam83e	Upreg
Fbxo2	Upreg
Gm21028	Upreg
Gm48552	Upreg
Grtp1	Upreg
Hcn2	Upreg
Hmgcl	Upreg
Hyls1	Upreg
Insm2	Upreg
Itgb1bp1	Upreg
Kera	Upreg
Lrit3	Upreg
Mup21	Upreg
Ndufa5	Upreg
Ndufb8	Upreg
Nefh	Upreg
Pcdhga7	Upreg
Piwil4	Upreg
Plekho2	Upreg
Ppp1cc	Upreg
Psme2	Upreg
Rps23rg1	Upreg
Selenov	Upreg
Sephs2	Upreg
Sertad4	Upreg
Slc1a6	Upreg
Slc32a1	Upreg
Slc8a3	Upreg
Smdt1	Upreg
Smim40-ps	Upreg
Spire2	Upreg
Srms	Upreg
Tubg1	Upreg
Uck1	Upreg
Zfp503	Upreg
Zkscan4	Upreg
