Gene	Direction
CCL3	All
CCL3L1	All
CCL4	All
CCL4L2	All
CCL23	All
CCL15	All
CCL15-CCL14	All
CCN2	All
CCNJL	All
CCNO	All
CD109	All
CD14	All
CD151	All
CD180	All
CD200R1	All
CD200R1L	All
CD209	All
CD22	All
CD274	All
CD300C	All
SIGLEC6	All
CD33	All
CD37	All
CD3D	All
CD44	All
CD48	All
CD52	All
CD53	All
CD63	All
CD81	All
CD82	All
CD84	All
CD86	All
CD9	All
CDC42EP3	All
CDC7	All
CDHR3	All
CDK5R1	All
CDKL1	All
CDRT4	All
CDYL2	All
CEBPA	All
CEBPE	All
CELA1	All
CES3	All
CFLAR	All
CH25H	All
CHAD	All
CHCHD4	All
CHI3L1	All
CHRNB3	All
CHST10	All
CHST8	All
CIB2	All
CLDN8	All
CLEC2D	All
CLEC5A	All
CLEC7A	All
CLGN	All
CLIC1	All
CLU	All
CMKLR1	All
CNN3	All
CNTROB	All
COA6	All
COL26A1	All
COL27A1	All
COLGALT2	All
COQ10B	All
COTL1	All
CPS1	All
CREG1	All
CRY1	All
CSF1	All
CSF1R	All
CSF2RB	All
CSF3R	All
CST3	All
CST7	All
CTDSP1	All
CTSA	All
CTSB	All
CTSC	All
CTSD	All
CTSE	All
CTSH	All
CTSO	All
CTSS	All
CTSZ	All
CTTNBP2NL	All
CTU1	All
CTXN3	All
CX3CL1	All
CX3CR1	All
CXCL10	All
CXCL6	All
CXCR4	All
CYBA	All
CYBB	All
CYBRD1	All
CYFIP1	All
CYP2E1	All
CYP7B1	All
CYTH4	All
C12orf4	All
DAND5	All
DBI	All
DCAF1	All
DCSTAMP	All
DDAH1	All
DDR1	All
DDX31	All
DDX60	All
DEFA1	All
DEFA4	All
DEFA1B	All
DEFA6	All
DEFA3	All
DEFA5	All
DEFA1	All
DEFA5	All
DEFA4	All
DEFA1B	All
DEFA3	All
DEFA6	All
DEFA5	All
DEFA3	All
DEFA1	All
DEFA6	All
DEFA4	All
DEFA1B	All
DEFA6	All
DEFA3	All
DEFA5	All
DEFA4	All
DEFA1	All
DEFA1B	All
DEFA6	All
DEFA1	All
DEFA4	All
DEFA5	All
DEFA3	All
DEFA1B	All
DEFA1	All
DEFA5	All
DEFA4	All
DEFA6	All
DEFA1B	All
DEFA3	All
DEFA3	All
DEFA1B	All
DEFA5	All
DEFA6	All
DEFA4	All
DEFA1	All
DENND11	All
DGKG	All
DHCR24	All
DHRS1	All
DHX8	All
DLL1	All
DLX1	All
DMBT1	All
DMP1	All
DNAH7	All
DNASE1L2	All
DNM2	All
DOCK2	All
DOCK8	All
DOK4	All
DOK7	All
DPF1	All
DPP7	All
DPY19L4	All
DPYSL5	All
DRC1	All
DTL	All
DUSP14	All
DUSP26	All
DUSP4	All
DUSP6	All
ECSIT	All
EDEM1	All
EEF1A1	All
EEF1A2	All
EFNA3	All
EGFL6	All
EGR1	All
EGR3	All
EGR4	All
EHD4	All
EIF2AK2	All
ELF1	All
ELF4	All
ELK3	All
EMX2	All
ENC1	All
ENKUR	All
ENPP6	All
ENTPD1	All
EPB41L2	All
EPHB2	All
EPHB3	All
EPHX1	All
ERBB3	All
ERBIN	All
ETAA1	All
ETNK2	All
ETS2	All
ETV1	All
ETV5	All
EVC	All
EVI2B	All
EXOSC3	All
EYA4	All
F11R	All
FABP1	All
FABP6	All
FABP7	All
FADS2	All
FAM163A	All
FAM221B	All
FAM228A	All
FAM53C	All
FAM71F2	All
FASN	All
FAT4	All
FCER1G	All
FCGR1A	All
FCGR1B	All
FCGR2C	All
FCGR2A	All
FCGR2B	All
FCGR2B	All
FCGR2C	All
FCGR2A	All
FER1L5	All
FES	All
FGD5	All
FGF2	All
FGFRL1	All
FLI1	All
FLNC	All
FLRT1	All
FNBP1L	All
FNIP2	All
FOSB	All
FRRS1	All
FTH1	All
FTL	All
FXYD1	All
FXYD3	All
FYB1	All
FZD1	All
FZD2	All
GAB2	All
GAL3ST1	All
GALNT15	All
GALNT6	All
GALNT9	All
GAREM2	All
GAS2L3	All
GAS8	All
GATA2	All
GCNT1	All
GDF10	All
GFAP	All
GFM2	All
GFOD1	All
GFRA1	All
GFRA2	All
GGCT	All
GIMAP5	All
GIMAP1-GIMAP5	All
GINM1	All
GJB1	All
GLB1	All
GLDN	All
GLIPR2	All
GLT8D2	All
GLTP	All
GM2A	All
RNF26	All
SEPTIN5	All
PLP2	All
C11orf80	All
GMIP	All
GNA12	All
GNA13	All
GNAI2	All
GNG12	All
GNG4	All
GNGT2	All
GNS	All
GOLIM4	All
GOLM1	All
GON4L	All
YY1AP1	All
GORAB	All
GPAM	All
GPC5	All
GPNMB	All
GPR137B	All
GPR149	All
GPR182	All
GPR183	All
GPR27	All
GPR3	All
GPR34	All
GPR45	All
GPR65	All
GPX1	All
GRHL2	All
GRIN3B	All
GRN	All
GRPR	All
GSAP	All
GSN	All
GTPBP6	All
GUSB	All
H1-2	All
HLA-E	All
HLA-E	All
HLA-DOB	All
H3C7	All
HAUS3	All
HAVCR2	All
HBEGF	All
HCAR2	All
HCAR3	All
HCK	All
HCLS1	All
HCRTR1	All
HCRTR2	All
HDAC9	All
HDGF	All
HEXA	All
HEXB	All
HIF1A	All
HIVEP1	All
HIVEP2	All
HK2	All
HLX	All
HMGCS1	All
HMOX1	All
HOGA1	All
HOMER1	All
HPGD	All
HPGDS	All
HPSE	All
HPX	All
HRC	All
HRH2	All
HSD17B2	All
HSPA12B	All
HSPA1B	All
HSPA1A	All
HSPA1B	All
HSPA1A	All
HSPA5	All
HTR7	All
HVCN1	All
ICAM1	All
IDH1	All
IDI1	All
IER5	All
MNDA	All
IFIT3	All
IFNGR1	All
IFT80	All
IGF1	All
IGFBP5	All
IGFN1	All
IGSF9B	All
IKZF1	All
IL10RB	All
IL13RA1	All
IL4R	All
IL6ST	All
IMPDH1	All
INPP5D	All
INSIG1	All
INTS12	All
IQCD	All
IRF8	All
IRGM	All
IRGQ	All
IRS1	All
ISL1	All
ITGA10	All
ITGA5	All
ITGA6	All
ITGAM	All
ITGAX	All
ITGB1	All
ITGB2	All
ITGB5	All
ITPKB	All
JAK3	All
JCAD	All
JOSD1	All
KBTBD8	All
KCND3	All
KCNG1	All
KCNG3	All
KCNJ2	All
KCNK12	All
KCNK6	All
KCNMB4	All
KCNN2	All
KCNV1	All
KDELR2	All
KIF26B	All
KIF27	All
KIRREL2	All
KLF10	All
KLF15	All
KLF8	All
KLHDC7B	All
KLHL3	All
KLHL32	All
KLHL6	All
KLK6	All
LACC1	All
LACTB2	All
LAG3	All
LAIR1	All
LAMC2	All
LAMP1	All
LAMP2	All
LAP3	All
LAPTM5	All
LAT2	All
LBH	All
LCAT	All
LCP1	All
LCP2	All
LDLR	All
LDLRAP1	All
LEF1	All
LGALS3BP	All
LGALS16	All
LGALS13	All
LGALS14	All
LGI4	All
LGMN	All
LHFPL2	All
LHX2	All
LAIR2	All
LIPA	All
LIPG	All
LIX1	All
LLPH	All
LONRF1	All
LPCAT2	All
LPL	All
LPXN	All
LRATD2	All
LRIT3	All
IRAG2	All
LRRD1	All
LRRK2	All
LRRTM1	All
LRRTM3	All
LSP1	All
LSS	All
LTBR	All
LY6E	All
LY86	All
LY9	All
LYN	All
LYPD8	All
LZTS3	All
MAFB	All
MAMDC2	All
MAN2B2	All
MAP3K1	All
MAP3K21	All
MARCHF4	All
MBD4	All
NTMT2	All
METTL7B	All
MEX3A	All
MFAP3L	All
MFGE8	All
MFSD1	All
MFSD2B	All
MGME1	All
MGST1	All
MLC1	All
MLXIPL	All
MMEL1	All
MMP28	All
MN1	All
MNAT1	All
MOB1A	All
MPEG1	All
MPP2	All
MRC2	All
MROH2A	All
MRPL32	All
MS4A6A	All
MS4A6E	All
MSMO1	All
MSN	All
MSRB1	All
MT1G	All
MTIF2	All
MTRR	All
MUL1	All
MUTYH	All
MYBPC1	All
MYH9	All
MYLIP	All
MYLK3	All
MYO1E	All
MYO1F	All
MYO6	All
MYORG	All
MZF1	All
NAALADL1	All
NAALADL2	All
NAGLU	All
NANOS1	All
NAP1L2	All
NAPEPLD	All
NCALD	All
NCF1	All
NCF2	All
NCKAP1L	All
NCOA5	All
NDUFB2	All
NECAP2	All
NFAM1	All
NFATC1	All
NFE2L2	All
NIPSNAP3A	All
NKAIN1	All
NKD2	All
NKG7	All
NLE1	All
NME1	All
NOL4	All
NOS3	All
NPC2	All
NPTX2	All
NPY5R	All
NR4A1	All
NR4A3	All
NRARP	All
NRBP1	All
NRROS	All
NSDHL	All
NTNG1	All
NXT1	All
OAS1	All
OBSL1	All
OLFML3	All
OR5V1	All
OR5V1	All
OPALIN	All
OSMR	All
OSTN	All
OTC	All
OTUD1	All
OXNAD1	All
P2RX7	All
P2RY12	All
P2RY13	All
P3H1	All
P4HA1	All
PABPC1	All
PABPC3	All
PACC1	All
PAG1	All
PALMD	All
PARD6A	All
PARP12	All
PARP9	All
PARVB	All
PARVG	All
PASK	All
PBK	All
PBXIP1	All
PCDHA5	All
PCDHGA7	All
PCP2	All
PCSK1	All
PDCD1	All
PDCD5	All
PDLIM2	All
PDP1	All
PDPN	All
PEBP4	All
PELI3	All
PEPD	All
PER1	All
PER2	All
PEX12	All
PGBD1	All
PHF21A	All
PHF21B	All
PHF8	All
PICK1	All
PIK3AP1	All
PIK3CG	All
PIN4	All
PITPNM3	All
PLAU	All
PLAUR	All
PLCE1	All
PLCG2	All
PLCH1	All
PLD4	All
PLEK	All
PLEKHA1	All
PLEKHA7	All
PLEKHO2	All
PLET1	All
PLIN3	All
PLXDC2	All
PLXNB2	All
PMM2	All
PMP22	All
PNPLA7	All
PNRC2	All
POGLUT3	All
POMGNT2	All
PON3	All
POU3F2	All
POU3F3	All
POU5F2	All
PPP1R18	All
PPP1R3G	All
PPT1	All
PRDM15	All
PRDX1	All
PRDX6	All
PRKD3	All
PROS1	All
PRPF3	All
PSD	All
CEACAM21	All
PSPN	All
PTAFR	All
PTCHD4	All
PTGS1	All
PTPN6	All
PTPN9	All
PTPRC	All
PYCARD	All
PYGM	All
QRFPR	All
R3HDM2	All
RAB31	All
RAB3IL1	All
RAB7B	All
RACK1	All
RAMP2	All
RARA	All
RASAL3	All
RASD1	All
RASGRF1	All
RASGRP3	All
RASL11A	All
RAVER2	All
RBM12B	All
RBM47	All
RDH11	All
RDH16	All
REC8	All
REEP3	All
RENBP	All
REP15	All
RET	All
RGS10	All
RGS8	All
RHBDL3	All
RHOB	All
RHOC	All
RHOG	All
RIDA	All
RIN2	All
RNASE4	All
RNF213	All
RNF220	All
RPE65	All
RPL10A	All
RPL13	All
RPL18A	All
RPL22	All
RPL7	All
RPS16	All
RPS6KA1	All
RPUSD4	All
RRBP1	All
RTL5	All
RTP4	All
RUNDC1	All
RUNX1	All
RUNX1T1	All
RYBP	All
RYR1	All
S100A6	All
S100A8	All
S100B	All
S1PR1	All
S1PR3	All
SAAL1	All
SALL1	All
SAMD10	All
SAMM50	All
SAMSN1	All
SAT1	All
SBK1	All
SBNO2	All
SBSPON	All
SC5D	All
SCAMP2	All
SCARF1	All
SCN2A	All
SCRG1	All
SCT	All
SDK2	All
SEC23IP	All
SECTM1	All
SELENOP	All
SELPLG	All
SEMA4D	All
SEMA6C	All
SEPTIN2	All
SERINC5	All
SERP1	All
SERPINA3	All
SERPINA3	All
SERPINA3	All
SERPINB8	All
SERPINE2	All
SERPING1	All
SERPINI1	All
SERTAD4	All
SETBP1	All
SETD4	All
SFRP1	All
SGPL1	All
SGSM1	All
SH3BP2	All
SH3GLB1	All
SHBG	All
SHISA9	All
SIAH2	All
SIAH3	All
SIGLEC6	All
CD33	All
SIGLEC6	All
CD33	All
SIK1B	All
SIK1	All
SIRT2	All
SIX4	All
SIX5	All
SKAP2	All
SLAMF9	All
SLC10A2	All
SLC11A1	All
SLC14A1	All
SLC17A9	All
SLC18A3	All
SLC22A3	All
SLC23A3	All
SLC27A5	All
SLC29A3	All
SLC31A1	All
SLC37A2	All
SLC39A2	All
SLC43A3	All
SLC44A1	All
SLC44A2	All
SLC46A3	All
SLC7A2	All
SLC9A5	All
SLCO2B1	All
SLFN13	All
SMIM8	All
SMUG1	All
SNAPIN	All
SNRPA1	All
SNTG2	All
SNX18	All
SOCS7	All
SORBS3	All
SORD	All
SOWAHA	All
SOWAHC	All
SOX11	All
SOX18	All
SOX9	All
SPACA9	All
SPARC	All
SPATA13	All
SPATA32	All
SPI1	All
SPICE1	All
SPINK9	All
SPP1	All
SPRED1	All
SPRED3	All
SPRY2	All
SPRY4	All
SPTBN5	All
SQLE	All
SRGN	All
SST	All
SSTR4	All
ST14	All
ST3GAL6	All
ST8SIA6	All
STARD4	All
STAT1	All
STAT3	All
STEAP4	All
STING1	All
STK32B	All
STON2	All
STPG1	All
STXBP3	All
SYNGR2	All
SYNJ2BP	All
SYPL2	All
TAC3	All
TAGLN2	All
TAP1	All
TAPBP	All
TBC1D1	All
TBXAS1	All
TCF7	All
TCIM	All
TCIRG1	All
TCN2	All
TCTN1	All
TDG	All
TDP1	All
TEC	All
TEDDM1	All
TENM2	All
TENT5C	All
TEP1	All
TFCP2L1	All
TFRC	All
TGFB1	All
TGFBR1	All
TGFBR2	All
TGIF1	All
THBS1	All
THRSP	All
THY1	All
TIFA	All
TIFAB	All
TIMELESS	All
TIPRL	All
TJP2	All
TLN1	All
TLR1	All
TLR2	All
TLR7	All
TLR9	All
TMEM119	All
TMEM123	All
TMEM151B	All
TMEM17	All
TMEM176A	All
TMEM176B	All
TMEM204	All
TMEM219	All
TMEM266	All
NALF2	All
TMEM86A	All
TMIGD1	All
TMSB4Y	All
TNF	All
TNFRSF1A	All
TNFRSF1B	All
TNFSF8	All
TNNI1	All
TNP2	All
TNS3	All
TOMM40	All
TOR3A	All
TOR4A	All
TPP1	All
TREM2	All
TF	All
TRIB2	All
TRIM5	All
TRIM5	All
TRIM66	All
TRIM9	All
TRMT9B	All
TP53INP2	All
TP53RK	All
TRPC4	All
TSC22D4	All
TSEN2	All
TSPAN1	All
TTC16	All
TTC9	All
TTF1	All
TYROBP	All
UBAP1L	All
UCP2	All
UFSP1	All
UNC93B1	All
UPK3A	All
USHBP1	All
USP12	All
USP27X	All
VAMP8	All
VAT1	All
VAV1	All
VGF	All
VIM	All
VSIR	All
VWA5A	All
VWC2	All
VWC2L	All
WASF2	All
WDCP	All
WDFY4	All
WDR82	All
WDR90	All
XAB2	All
SYCP3	All
XPNPEP2	All
XRCC2	All
YPEL4	All
ZBED4	All
ZBED9	All
ZBTB16	All
ZBTB40	All
ZBTB46	All
ZBTB8B	All
ZC3HAV1	All
ZDBF2	All
ZNF233	All
ZNF280B	All
ZNF334	All
ZNF365	All
ZNF366	All
ZFP36L1	All
ZNF195	All
ZNF429	All
ZNF503	All
ZNF618	All
ZNF667	All
ZNF764	All
ZNF747	All
ZNF786	All
ZNF791	All
ZNF34	All
ZIC5	All
ZKSCAN4	All
ZMYM1	All
ZSWIM3	All
C4orf54	Downreg
C9orf116	Downreg
C3orf20	Downreg
C16orf86	Downreg
PACRGL	Downreg
AARS2	Downreg
ABCG4	Downreg
ACAD10	Downreg
ACP4	Downreg
ADAMTS17	Downreg
ADAMTS8	Downreg
ADAMTSL2	Downreg
ADCY3	Downreg
ADCY8	Downreg
ADRA2C	Downreg
ADRB1	Downreg
ADRB3	Downreg
AGBL4	Downreg
AGO4	Downreg
TAF9	Downreg
AKAP14	Downreg
ALOX12B	Downreg
ALOX15B	Downreg
AMIGO1	Downreg
ANKRD34B	Downreg
ANKRD55	Downreg
APLN	Downreg
ARC	Downreg
ARHGAP6	Downreg
ARHGEF25	Downreg
ARL4D	Downreg
ARMC9	Downreg
ASB3	Downreg
ASB6	Downreg
ASIC3	Downreg
ATAD3A	Downreg
ATG9B	Downreg
ATXN1	Downreg
B3GNT2	Downreg
B4GALNT3	Downreg
B4GALT2	Downreg
BAMBI	Downreg
BANP	Downreg
BCL6B	Downreg
BCOR	Downreg
BDNF	Downreg
BEAN1	Downreg
BEND4	Downreg
BMPER	Downreg
BUB1B-PAK6	Downreg
BVES	Downreg
CACNA1H	Downreg
CACNB1	Downreg
CACNG2	Downreg
CAMK1G	Downreg
CAMKK1	Downreg
CASKIN1	Downreg
CASTOR2	Downreg
CBX7	Downreg
CCDC177	Downreg
CCDC184	Downreg
CCDC27	Downreg
CCDC88C	Downreg
CCDC92	Downreg
CCDC92B	Downreg
CCER1	Downreg
CCNJL	Downreg
CCNO	Downreg
CDC42EP3	Downreg
CDC7	Downreg
CDHR3	Downreg
CDK5R1	Downreg
CDKL1	Downreg
CDYL2	Downreg
CHCHD4	Downreg
CHRNB3	Downreg
CHST10	Downreg
CHST8	Downreg
CIB2	Downreg
CLGN	Downreg
CNTROB	Downreg
COL26A1	Downreg
COLGALT2	Downreg
COQ10B	Downreg
CRY1	Downreg
CTU1	Downreg
CTXN3	Downreg
CX3CL1	Downreg
C12orf4	Downreg
DAND5	Downreg
DCAF1	Downreg
DENND11	Downreg
DGKG	Downreg
DHX8	Downreg
DLL1	Downreg
DLX1	Downreg
DMP1	Downreg
DNAH7	Downreg
DNASE1L2	Downreg
DOK4	Downreg
DOK7	Downreg
DPF1	Downreg
DPYSL5	Downreg
DRC1	Downreg
DTL	Downreg
DUSP14	Downreg
DUSP26	Downreg
DUSP4	Downreg
DUSP6	Downreg
ECSIT	Downreg
EEF1A2	Downreg
EFNA3	Downreg
EGFL6	Downreg
EGR1	Downreg
EGR3	Downreg
EGR4	Downreg
EMX2	Downreg
ENC1	Downreg
ENKUR	Downreg
EPHB2	Downreg
EPHB3	Downreg
ETAA1	Downreg
ETNK2	Downreg
ETS2	Downreg
ETV1	Downreg
ETV5	Downreg
EVC	Downreg
EVI2B	Downreg
EXOSC3	Downreg
FAM163A	Downreg
FAM221B	Downreg
FAM228A	Downreg
FAM53C	Downreg
FAM71F2	Downreg
FAT4	Downreg
FER1L5	Downreg
FGD5	Downreg
FLRT1	Downreg
FNBP1L	Downreg
FOSB	Downreg
FZD1	Downreg
FZD2	Downreg
GALNT9	Downreg
GAREM2	Downreg
GAS8	Downreg
GATA2	Downreg
GDF10	Downreg
GFOD1	Downreg
GFRA2	Downreg
GGCT	Downreg
GLT8D2	Downreg
RNF26	Downreg
SEPTIN5	Downreg
PLP2	Downreg
C11orf80	Downreg
GNG4	Downreg
GORAB	Downreg
GPC5	Downreg
GPR149	Downreg
GPR182	Downreg
GPR27	Downreg
GPR3	Downreg
GPR45	Downreg
GRHL2	Downreg
GRIN3B	Downreg
GRPR	Downreg
GTPBP6	Downreg
H3C7	Downreg
HAUS3	Downreg
HBEGF	Downreg
HCRTR1	Downreg
HCRTR2	Downreg
HDAC9	Downreg
HDGF	Downreg
HIVEP1	Downreg
HIVEP2	Downreg
HOMER1	Downreg
HRC	Downreg
HRH2	Downreg
HSPA12B	Downreg
HSPA1B	Downreg
HSPA1A	Downreg
HSPA1B	Downreg
HSPA1A	Downreg
HSPA5	Downreg
HTR7	Downreg
IER5	Downreg
IFT80	Downreg
IGFN1	Downreg
IGSF9B	Downreg
IMPDH1	Downreg
INTS12	Downreg
IQCD	Downreg
IRGQ	Downreg
IRS1	Downreg
ISL1	Downreg
ITGA10	Downreg
JCAD	Downreg
JOSD1	Downreg
KBTBD8	Downreg
KCND3	Downreg
KCNG1	Downreg
KCNG3	Downreg
KCNK12	Downreg
KCNMB4	Downreg
KCNN2	Downreg
KCNV1	Downreg
KIF26B	Downreg
KIF27	Downreg
KIRREL2	Downreg
KLF10	Downreg
KLF15	Downreg
KLF8	Downreg
KLHDC7B	Downreg
KLHL3	Downreg
KLHL32	Downreg
LAMC2	Downreg
LEF1	Downreg
LHX2	Downreg
LIPG	Downreg
LLPH	Downreg
LONRF1	Downreg
LRATD2	Downreg
LRIT3	Downreg
LRRD1	Downreg
LRRK2	Downreg
LRRTM1	Downreg
LRRTM3	Downreg
LZTS3	Downreg
MAP3K21	Downreg
MARCHF4	Downreg
MBD4	Downreg
NTMT2	Downreg
MEX3A	Downreg
MFGE8	Downreg
MFSD2B	Downreg
MGME1	Downreg
MMEL1	Downreg
MMP28	Downreg
MN1	Downreg
MNAT1	Downreg
MPP2	Downreg
MROH2A	Downreg
MRPL32	Downreg
MTIF2	Downreg
MTRR	Downreg
MUL1	Downreg
MUTYH	Downreg
MYBPC1	Downreg
MYLK3	Downreg
MYORG	Downreg
MZF1	Downreg
NAALADL2	Downreg
NANOS1	Downreg
NAP1L2	Downreg
NAPEPLD	Downreg
NCALD	Downreg
NCOA5	Downreg
NDUFB2	Downreg
NKD2	Downreg
NLE1	Downreg
NME1	Downreg
NOL4	Downreg
NOS3	Downreg
NPTX2	Downreg
NPY5R	Downreg
NR4A1	Downreg
NR4A3	Downreg
NRARP	Downreg
NRBP1	Downreg
NTNG1	Downreg
NXT1	Downreg
OBSL1	Downreg
OSTN	Downreg
OTUD1	Downreg
OXNAD1	Downreg
P3H1	Downreg
P4HA1	Downreg
PALMD	Downreg
PARD6A	Downreg
PASK	Downreg
PCDHA5	Downreg
PCDHGA7	Downreg
PCP2	Downreg
PCSK1	Downreg
PDCD5	Downreg
PDP1	Downreg
PEBP4	Downreg
PELI3	Downreg
PER1	Downreg
PER2	Downreg
PEX12	Downreg
PGBD1	Downreg
PHF21A	Downreg
PHF21B	Downreg
PHF8	Downreg
PICK1	Downreg
PIN4	Downreg
PITPNM3	Downreg
PLCH1	Downreg
PLEKHA7	Downreg
PLEKHO2	Downreg
POMGNT2	Downreg
POU3F2	Downreg
POU3F3	Downreg
PPP1R3G	Downreg
PRDM15	Downreg
PRPF3	Downreg
PSD	Downreg
PSPN	Downreg
PTCHD4	Downreg
PTPN9	Downreg
PYGM	Downreg
QRFPR	Downreg
R3HDM2	Downreg
RAMP2	Downreg
RARA	Downreg
RASD1	Downreg
RASGRF1	Downreg
RASL11A	Downreg
RAVER2	Downreg
RBM12B	Downreg
REC8	Downreg
RET	Downreg
RGS8	Downreg
RHBDL3	Downreg
RNF220	Downreg
RPE65	Downreg
RPUSD4	Downreg
RTL5	Downreg
RUNDC1	Downreg
RUNX1T1	Downreg
RYBP	Downreg
RYR1	Downreg
S1PR1	Downreg
SAAL1	Downreg
SAMD10	Downreg
SAMM50	Downreg
SBK1	Downreg
SBSPON	Downreg
SCARF1	Downreg
SCN2A	Downreg
SDK2	Downreg
SEC23IP	Downreg
SEMA6C	Downreg
SERPINB8	Downreg
SERPINI1	Downreg
SERTAD4	Downreg
SETBP1	Downreg
SETD4	Downreg
SGSM1	Downreg
SHISA9	Downreg
SIAH2	Downreg
SIAH3	Downreg
SIK1B	Downreg
SIK1	Downreg
SIX4	Downreg
SIX5	Downreg
SLC18A3	Downreg
SLC22A3	Downreg
SLC23A3	Downreg
SLC39A2	Downreg
SLC9A5	Downreg
SMUG1	Downreg
SNRPA1	Downreg
SNTG2	Downreg
SOCS7	Downreg
SOWAHA	Downreg
SOX11	Downreg
SOX18	Downreg
SPACA9	Downreg
SPATA32	Downreg
SPICE1	Downreg
SPINK9	Downreg
SPRED1	Downreg
SPRED3	Downreg
SPRY2	Downreg
SPRY4	Downreg
SPTBN5	Downreg
SST	Downreg
SSTR4	Downreg
STK32B	Downreg
STPG1	Downreg
SYNJ2BP	Downreg
SYPL2	Downreg
TAC3	Downreg
TBC1D1	Downreg
TCF7	Downreg
TDG	Downreg
TDP1	Downreg
TEDDM1	Downreg
TENM2	Downreg
TIMELESS	Downreg
TIPRL	Downreg
TMEM151B	Downreg
TMEM17	Downreg
TMEM204	Downreg
TMEM266	Downreg
NALF2	Downreg
TOMM40	Downreg
TRIB2	Downreg
TRIM66	Downreg
TRIM9	Downreg
TRMT9B	Downreg
TP53RK	Downreg
TRPC4	Downreg
TSEN2	Downreg
TTC16	Downreg
TTC9	Downreg
TTF1	Downreg
UBAP1L	Downreg
UFSP1	Downreg
USHBP1	Downreg
USP27X	Downreg
VGF	Downreg
VWC2	Downreg
VWC2L	Downreg
WDCP	Downreg
WDR82	Downreg
WDR90	Downreg
XAB2	Downreg
XRCC2	Downreg
YPEL4	Downreg
ZBED4	Downreg
ZBED9	Downreg
ZBTB16	Downreg
ZBTB40	Downreg
ZBTB46	Downreg
ZBTB8B	Downreg
ZDBF2	Downreg
ZNF233	Downreg
ZNF280B	Downreg
ZNF334	Downreg
ZNF365	Downreg
ZNF366	Downreg
ZNF195	Downreg
ZNF429	Downreg
ZNF503	Downreg
ZNF618	Downreg
ZNF667	Downreg
ZNF764	Downreg
ZNF747	Downreg
ZNF786	Downreg
ZNF791	Downreg
ZIC5	Downreg
ZKSCAN4	Downreg
ZMYM1	Downreg
ZSWIM3	Downreg
A2M	Upreg
ABCA1	Upreg
ABCA9	Upreg
ABHD4	Upreg
ACACA	Upreg
ACAT2	Upreg
ACLY	Upreg
ADAMTSL3	Upreg
ADAMTSL4	Upreg
ADAP2	Upreg
ADD3	Upreg
ADGRE1	Upreg
ADIPOR1	Upreg
AHCY	Upreg
AIM2	Upreg
AKAP13	Upreg
AKNA	Upreg
ALB	Upreg
ALDH1L2	Upreg
AMZ1	Upreg
ANG	Upreg
ANXA3	Upreg
ANXA5	Upreg
APBB1IP	Upreg
APOBEC1	Upreg
APOE	Upreg
AQP4	Upreg
ARAP1	Upreg
ARG1	Upreg
ARHGAP30	Upreg
ARHGAP45	Upreg
ARHGDIB	Upreg
ARPC1B	Upreg
ARRDC1	Upreg
ARSB	Upreg
ASB10	Upreg
ASPG	Upreg
ATP6V0D2	Upreg
ATRAID	Upreg
AXL	Upreg
B2M	Upreg
B3GNT7	Upreg
B4GALT1	Upreg
BACH1	Upreg
BAIAP2L2	Upreg
BCL2A1	Upreg
