Gene	Direction
C4orf54	All
C9orf116	All
C3orf20	All
C16orf86	All
PACRGL	All
A2M	All
AARS2	All
ABCA1	All
ABCA9	All
ABCG4	All
ABHD4	All
ACACA	All
ACAD10	All
ACAT2	All
ACLY	All
ACP4	All
ADAMTS17	All
ADAMTS8	All
ADAMTSL2	All
ADAMTSL3	All
ADAMTSL4	All
ADAP2	All
ADCY3	All
ADCY8	All
ADD3	All
ADGRE1	All
ADIPOR1	All
ADRA2C	All
ADRB1	All
ADRB3	All
AGBL4	All
AGO4	All
AHCY	All
AIM2	All
TAF9	All
AKAP13	All
AKAP14	All
AKNA	All
ALB	All
ALDH1L2	All
ALOX12B	All
ALOX15B	All
AMIGO1	All
AMZ1	All
ANG	All
ANKRD34B	All
ANKRD55	All
ANXA3	All
ANXA5	All
APBB1IP	All
APLN	All
APOBEC1	All
APOE	All
AQP4	All
ARAP1	All
ARC	All
ARG1	All
ARHGAP30	All
ARHGAP45	All
ARHGAP6	All
ARHGDIB	All
ARHGEF25	All
ARL4D	All
ARMC9	All
ARPC1B	All
ARRDC1	All
ARSB	All
ASB10	All
ASB3	All
ASB6	All
ASIC3	All
ASPG	All
ATAD3A	All
ATG9B	All
ATP6V0D2	All
ATRAID	All
ATXN1	All
AXL	All
B2M	All
B3GNT2	All
B3GNT7	All
B4GALNT3	All
B4GALT1	All
B4GALT2	All
BACH1	All
BAIAP2L2	All
BAMBI	All
BANP	All
BCL2A1	All
BCL2A1	All
BCL3	All
BCL6B	All
BCOR	All
BDNF	All
BEAN1	All
BEND4	All
BIN2	All
BLNK	All
BMP2K	All
BMPER	All
BST2	All
BTK	All
BUB1B-PAK6	All
BVES	All
C1QA	All
C1QB	All
C1QC	All
C3AR1	All
C4A	All
C4B	All
CACNA1H	All
CACNB1	All
CACNG2	All
CAMK1G	All
CAMKK1	All
CAPG	All
CAPNS1	All
CAPZA1	All
CASKIN1	All
CASTOR2	All
CAT	All
CBX7	All
CCDC177	All
CCDC184	All
CCDC27	All
CCDC88C	All
CCDC92	All
CCDC92B	All
CCER1	All
CCL3L3	All
CCL18	All
