Gene	Direction
CUBN	Upreg
CYTL1	Upreg
DEFA1B	Upreg
DEFA5	Upreg
DEFA1	Upreg
DEFA3	Upreg
DEFA4	Upreg
DEFA6	Upreg
DEFA5	Upreg
DEFA1B	Upreg
DEFA4	Upreg
DEFA6	Upreg
DEFA3	Upreg
DEFA1	Upreg
DEFA1B	Upreg
DEFA3	Upreg
DEFA4	Upreg
DEFA6	Upreg
DEFA5	Upreg
DEFA1	Upreg
DEFA5	Upreg
DEFA4	Upreg
DEFA6	Upreg
DEFA3	Upreg
DEFA1	Upreg
DEFA1B	Upreg
DEFA1B	Upreg
DEFA5	Upreg
DEFA6	Upreg
DEFA1	Upreg
DEFA4	Upreg
DEFA3	Upreg
DEFA5	Upreg
DEFA6	Upreg
DEFA4	Upreg
DEFA3	Upreg
DEFA1B	Upreg
DEFA1	Upreg
DEFA1B	Upreg
DEFA1	Upreg
DEFA3	Upreg
DEFA6	Upreg
DEFA4	Upreg
DEFA5	Upreg
DEFA3	Upreg
DEFA6	Upreg
DEFA1	Upreg
DEFA5	Upreg
DEFA4	Upreg
DEFA1B	Upreg
DMBT1	Upreg
DSG2	Upreg
DSTN	Upreg
ELF3	Upreg
ENPEP	Upreg
EPCAM	Upreg
EZR	Upreg
F11R	Upreg
FABP2	Upreg
FABP6	Upreg
FAM83E	Upreg
GINS4	Upreg
C3orf85	Upreg
GNAI3	Upreg
GNG12	Upreg
GON4L	Upreg
YY1AP1	Upreg
HLA-E	Upreg
HNF4A	Upreg
HPGD	Upreg
INSM2	Upreg
JCHAIN	Upreg
KLK2	Upreg
KLK3	Upreg
KLK1	Upreg
KRT19	Upreg
LAMTOR4	Upreg
LGALS4	Upreg
LGALS13	Upreg
LGALS14	Upreg
LGALS16	Upreg
LYPD8	Upreg
MGAM2	Upreg
MISP	Upreg
MS4A8	Upreg
NAALADL1	Upreg
NPEPL1	Upreg
NR1H4	Upreg
PARP9	Upreg
PLS1	Upreg
PMP22	Upreg
PPP1R14D	Upreg
PRSS45P	Upreg
PSME2	Upreg
PTPN6	Upreg
PYCARD	Upreg
PYY	Upreg
RBM48	Upreg
SELENBP1	Upreg
SERPINB1	Upreg
SLC10A2	Upreg
SLC13A1	Upreg
SLC1A6	Upreg
SLC34A2	Upreg
SLC51B	Upreg
SLC5A8	Upreg
SRMS	Upreg
STK17B	Upreg
TGM7	Upreg
THY1	Upreg
TMIGD1	Upreg
TSPAN1	Upreg
TSPAN8	Upreg
WFDC2	Upreg
XPNPEP2	Upreg
ZC3HAV1	Upreg
